Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Manufacture_segment
9,2010,72000,0,1,0,26.6,998,58.16,5.0,1.75,1
10,2015,41000,1,1,0,19.67,1582,126.2,5.0,12.5,1
2,2011,46000,4,1,0,18.2,1199,88.7,5.0,4.5,1
2,2012,87000,1,1,0,20.77,1248,88.76,7.0,6.0,1
3,2013,40670,1,0,2,15.2,1968,140.8,5.0,17.74,2
5,2012,75000,3,1,0,21.1,814,55.2,5.0,2.35,1
6,2013,86999,1,1,0,23.08,1461,63.1,5.0,3.5,1
9,2016,36000,1,0,0,11.36,2755,171.5,8.0,17.5,1
10,2013,64430,1,1,0,20.54,1598,103.6,5.0,5.2,4
2,2012,65932,1,1,2,22.3,1248,74.0,5.0,1.95,1
7,2018,25692,4,1,0,21.56,1462,103.25,5.0,9.95,1
8,2012,60000,4,0,0,16.8,1497,116.3,5.0,4.49,1
6,2015,64424,1,1,0,25.2,1248,74.0,5.0,5.6,1
4,2014,72000,1,0,0,12.7,2179,187.7,5.0,27.0,2
10,2012,85000,1,0,2,0.0,2179,115.0,5.0,17.5,2
4,2014,110000,1,1,0,13.5,2477,175.56,7.0,15.0,1
7,2016,58950,1,1,0,25.8,1498,98.6,5.0,5.4,1
6,2017,25000,1,1,0,28.4,1248,74.0,5.0,5.99,1
7,2014,77469,1,1,0,20.45,1461,83.8,5.0,6.34,4
1,2014,78500,1,0,0,14.84,2143,167.62,5.0,28.0,3
7,2014,32982,1,0,0,22.69,1995,190.0,5.0,18.55,2
1,2015,55392,1,1,2,23.65,1248,88.5,5.0,8.25,1
9,2015,55985,4,0,0,13.53,1984,177.01,5.0,23.5,2
8,2010,45807,4,1,0,18.5,1197,80.0,5.0,1.87,1
8,2010,33000,4,0,0,14.4,1598,103.6,5.0,2.85,4
9,2012,51920,4,1,0,16.8,1497,116.3,5.0,4.25,1
5,2012,54000,1,1,0,23.08,1461,63.1,5.0,4.25,1
5,2013,54000,4,1,2,20.92,998,67.1,5.0,2.75,1
7,2018,37430,4,1,0,17.5,1199,88.7,5.0,9.9,1
9,2007,262000,1,1,1,12.8,2494,102.0,7.0,4.0,1
1,2013,62000,1,1,0,19.01,1461,108.45,5.0,7.75,4
4,2012,87615,4,1,0,14.53,1798,138.1,5.0,6.75,1
1,2013,72000,1,0,2,11.18,2696,184.0,7.0,12.5,0
8,2010,35000,1,0,0,12.4,2698,179.5,5.0,11.5,2
3,2014,55431,4,1,2,16.09,1598,103.5,5.0,6.98,4
6,2009,83816,4,1,2,14.0,1061,64.0,5.0,1.85,1
7,2018,50075,1,1,0,24.3,1248,88.5,5.0,8.63,1
4,2017,52000,4,1,0,18.15,1198,82.0,5.0,4.85,0
10,2013,85000,1,0,0,11.74,2987,254.8,5.0,28.0,3
